,Movie Name,Year of Release,IMDB Rating,Rank
171,"Tonari no Totoro
(1988)",1988,8.1,172
172,"Everything Everywhere All at Once
(2022)",2022,8.1,173
173,"Million Dollar Baby
(2004)",2004,8.1,174
174,"The Gold Rush
(1925)",1925,8.1,175
175,"Catch Me If You Can
(2002)",2002,8.1,176
176,"Blade Runner
(1982)",1982,8.1,177
177,"On the Waterfront
(1954)",1954,8.1,178
178,"Bacheha-Ye aseman
(1997)",1997,8.1,179
179,"The Third Man
(1949)",1949,8.1,180
180,"Ben-Hur
(1959)",1959,8.1,181
181,"Before Sunrise
(1995)",1995,8.1,182
182,"12 Years a Slave
(2013)",2013,8.1,183
183,"Smultronstället
(1957)",1957,8.1,184
184,"The General
(1926)",1926,8.1,185
185,"Gone Girl
(2014)",2014,8.1,186
186,"Harry Potter and the Deathly Hallows: Part 2
(2011)",2011,8.1,187
187,"The Deer Hunter
(1978)",1978,8.1,188
188,"In the Name of the Father
(1993)",1993,8.1,189
189,"The Grand Budapest Hotel
(2014)",2014,8.1,190
190,"Mr. Smith Goes to Washington
(1939)",1939,8.1,191
191,"Barry Lyndon
(1975)",1975,8.1,192
192,"Le salaire de la peur
(1953)",1953,8.1,193
193,"Sherlock Jr.
(1924)",1924,8.1,194
194,"Salinui chueok
(2003)",2003,8.1,195
195,"Hacksaw Ridge
(2016)",2016,8.1,196
196,"Klaus
(2019)",2019,8.1,197
197,"Relatos salvajes
(2014)",2014,8.1,198
198,"Det sjunde inseglet
(1957)",1957,8.1,199
199,"Room
(2015)",2015,8.1,200
200,"Mad Max: Fury Road
(2015)",2015,8.1,201
201,"How to Train Your Dragon
(2010)",2010,8.1,202
202,"The Big Lebowski
(1998)",1998,8.1,203
203,"Mary and Max.
(2009)",2009,8.1,204
204,"Monsters, Inc.
(2001)",2001,8.1,205
205,"Jaws
(1975)",1975,8.1,206
206,"La passion de Jeanne d'Arc
(1928)",1928,8.1,207
207,"Tôkyô monogatari
(1953)",1953,8.1,208
208,"Dead Poets Society
(1989)",1989,8.1,209
209,"Hotel Rwanda
(2004)",2004,8.1,210
210,"Rocky
(1976)",1976,8.0,211
211,"Ford v Ferrari
(2019)",2019,8.0,212
212,"Platoon
(1986)",1986,8.0,213
213,"Pather Panchali
(1955)",1955,8.0,214
214,"Stand by Me
(1986)",1986,8.0,215
215,"The Terminator
(1984)",1984,8.0,216
216,"Spotlight
(2015)",2015,8.0,217
217,"Rush
(2013)",2013,8.0,218
218,"Network
(1976)",1976,8.0,219
219,"Logan
(2017)",2017,8.0,220
220,"Into the Wild
(2007)",2007,8.0,221
221,"The Wizard of Oz
(1939)",1939,8.0,222
222,"Ratatouille
(2007)",2007,8.0,223
223,"Groundhog Day
(1993)",1993,8.0,224
224,"Before Sunset
(2004)",2004,8.0,225
225,"The Exorcist
(1973)",1973,8.0,226
226,"The Best Years of Our Lives
(1946)",1946,8.0,227
227,"The Incredibles
(2004)",2004,8.0,228
228,"To Be or Not to Be
(1942)",1942,8.0,229
229,"The Grapes of Wrath
(1940)",1940,8.0,230
230,"La battaglia di Algeri
(1966)",1966,8.0,231
231,"Rebecca
(1940)",1940,8.0,232
232,"Hachi: A Dog's Tale
(2009)",2009,8.0,233
233,"Cool Hand Luke
(1967)",1967,8.0,234
234,"Amores perros
(2000)",2000,8.0,235
235,"Pirates of the Caribbean: The Curse of the Black Pearl
(2003)",2003,8.0,236
236,"La haine
(1995)",1995,8.0,237
237,"Les quatre cents coups
(1959)",1959,8.0,238
238,"Babam ve Oglum
(2005)",2005,8.0,239
239,"Persona
(1966)",1966,8.0,240
240,"It Happened One Night
(1934)",1934,8.0,241
241,"Life of Brian
(1979)",1979,8.0,242
242,"The Sound of Music
(1965)",1965,8.0,243
243,"Dersu Uzala
(1975)",1975,8.0,244
244,"Ah-ga-ssi
(2016)",2016,8.0,245
245,"Jai Bhim
(2021)",2021,8.0,246
246,"Aladdin
(1992)",1992,8.0,247
247,"Gandhi
(1982)",1982,8.0,248
248,"The Help
(2011)",2011,8.0,249
249,"The Iron Giant
(1999)",1999,8.0,250
